timestep,weekday,yearday,holiday_-2,holiday_-1,holiday_0,holiday_+1,holiday_+2,resident_pop,tourist_pop,temp_min,temp_max,prec_prob,wind_speed
2255.0,6.0,58.0,0.0,1.0,1.0,0.0,1.0,1226590.6629834254,295744.4285714286,5.0,21.0,0.0,1.0
2256.0,0.0,59.0,1.0,1.0,0.0,1.0,0.0,1226636.4640883978,301363.7142857143,4.0,21.0,1.0,1.0
2257.0,1.0,60.0,1.0,0.0,1.0,0.0,0.0,1226682.2651933702,306983.0,7.0,20.0,0.0,1.0
2258.0,2.0,61.0,0.0,1.0,0.0,0.0,0.0,1226728.0662983425,331604.32258064515,6.0,21.0,0.0,1.0
2259.0,3.0,62.0,1.0,0.0,0.0,0.0,1.0,1226773.867403315,356225.6451612903,8.0,22.0,1.0,2.0
2260.0,4.0,63.0,0.0,0.0,0.0,1.0,1.0,1226819.6685082873,380846.9677419355,9.0,22.0,0.0,1.0
2261.0,5.0,64.0,0.0,0.0,1.0,1.0,0.0,1226865.4696132597,405468.29032258067,9.0,23.0,0.0,1.0
2262.0,6.0,65.0,0.0,1.0,1.0,0.0,0.0,1226911.270718232,430089.6129032258,9.0,23.0,1.0,0.0
2263.0,0.0,66.0,1.0,1.0,0.0,0.0,0.0,1226957.0718232044,454710.93548387097,12.0,22.0,3.0,1.0
2264.0,1.0,67.0,1.0,0.0,0.0,0.0,0.0,1227002.8729281768,479332.2580645161,13.0,20.0,1.0,1.0
2265.0,2.0,68.0,0.0,0.0,0.0,0.0,0.0,1227048.6740331491,503953.58064516133,12.0,23.0,1.0,0.0
2266.0,3.0,69.0,0.0,0.0,0.0,0.0,1.0,1227094.4751381215,528574.9032258064,12.0,23.0,1.0,1.0
2267.0,4.0,70.0,0.0,0.0,0.0,1.0,1.0,1227140.276243094,553196.2258064516,11.0,24.0,1.0,1.0
2268.0,5.0,71.0,0.0,0.0,1.0,1.0,0.0,1227186.0773480663,577817.5483870967,13.0,24.0,0.0,1.0
2269.0,6.0,72.0,0.0,1.0,1.0,0.0,0.0,1227231.8784530386,602438.8709677419,15.0,20.0,2.0,1.0
2270.0,0.0,73.0,1.0,1.0,0.0,0.0,0.0,1227277.679558011,627060.1935483871,14.0,20.0,1.0,1.0
2271.0,1.0,74.0,1.0,0.0,0.0,0.0,0.0,1227323.4806629834,651681.5161290322,14.0,21.0,3.0,0.0
2272.0,2.0,75.0,0.0,0.0,0.0,0.0,0.0,1227369.2817679557,676302.8387096775,11.0,21.0,1.0,4.0
2273.0,3.0,76.0,0.0,0.0,0.0,0.0,1.0,1227415.0828729281,700924.1612903227,11.0,22.0,0.0,1.0
